[INFO] [1787220530.311107771] [tray_section_viewer]: Tray registration reference: /home/juchan-yoon/FR5_robot_control/vision_assembly/data/tray_reference_no_tape.jpg
[INFO] [1787220530.311461888] [tray_section_viewer]: Reference features: 117; no robot commands are sent
[INFO] [1787220530.515486508] [tray_section_viewer]: Tray state=TRACKING, matches=73, inliers=71
[INFO] [1787220600.676115875] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=15, inliers=9
[INFO] [1787220600.806096172] [tray_section_viewer]: Tray state=TRACKING, matches=14, inliers=11
[INFO] [1787220601.208342292] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=18, inliers=11
[INFO] [1787220601.273504987] [tray_section_viewer]: Tray state=TRACKING, matches=22, inliers=10
[INFO] [1787220601.343716006] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=19, inliers=9
[INFO] [1787220601.409227716] [tray_section_viewer]: Tray state=TRACKING, matches=22, inliers=10
[INFO] [1787220601.543430371] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=13, inliers=0
[INFO] [1787220601.610852177] [tray_section_viewer]: Tray state=TRACKING, matches=29, inliers=13
[INFO] [1787220601.877614888] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=29, inliers=13
[INFO] [1787220602.010114208] [tray_section_viewer]: Tray state=TRACKING, matches=33, inliers=13
[INFO] [1787220602.140868623] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=34, inliers=16
[INFO] [1787220602.208164697] [tray_section_viewer]: Tray state=TRACKING, matches=30, inliers=12
[INFO] [1787220602.548614442] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=32, inliers=13
[INFO] [1787220602.614821096] [tray_section_viewer]: Tray state=TRACKING, matches=26, inliers=12
[INFO] [1787220602.876665599] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=28, inliers=13
[INFO] [1787220602.941015907] [tray_section_viewer]: Tray state=TRACKING, matches=29, inliers=13
[INFO] [1787220603.148894509] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=37, inliers=15
[INFO] [1787220603.213319396] [tray_section_viewer]: Tray state=TRACKING, matches=37, inliers=16
[INFO] [1787220603.421463346] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=33, inliers=15
[INFO] [1787220603.483701622] [tray_section_viewer]: Tray state=TRACKING, matches=26, inliers=11
[INFO] [1787220603.616312681] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=28, inliers=16
[INFO] [1787220603.682338544] [tray_section_viewer]: Tray state=TRACKING, matches=29, inliers=14
[INFO] [1787220603.947612973] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=27, inliers=15
[INFO] [1787220604.018276198] [tray_section_viewer]: Tray state=TRACKING, matches=32, inliers=12
[INFO] [1787220604.083719183] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=27, inliers=13
[INFO] [1787220604.210996361] [tray_section_viewer]: Tray state=TRACKING, matches=33, inliers=15
[INFO] [1787220604.413575565] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=34, inliers=15
[INFO] [1787220604.479861536] [tray_section_viewer]: Tray state=TRACKING, matches=30, inliers=15
[INFO] [1787220604.615451319] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=34, inliers=13
[INFO] [1787220604.681960804] [tray_section_viewer]: Tray state=TRACKING, matches=30, inliers=12
[INFO] [1787220604.747424790] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=31, inliers=15
[INFO] [1787220604.812601226] [tray_section_viewer]: Tray state=TRACKING, matches=38, inliers=15
[INFO] [1787220604.944857996] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=31, inliers=17
[INFO] [1787220605.011586391] [tray_section_viewer]: Tray state=TRACKING, matches=32, inliers=14
[INFO] [1787220605.344393658] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=30, inliers=13
[INFO] [1787220605.414207652] [tray_section_viewer]: Tray state=TRACKING, matches=24, inliers=11
[INFO] [1787220605.480814484] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=32, inliers=15
[INFO] [1787220605.548166958] [tray_section_viewer]: Tray state=TRACKING, matches=31, inliers=14
[INFO] [1787220605.745085190] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=31, inliers=13
[INFO] [1787220605.812998196] [tray_section_viewer]: Tray state=TRACKING, matches=27, inliers=12
[INFO] [1787220606.277675277] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=35, inliers=15
[INFO] [1787220606.346983157] [tray_section_viewer]: Tray state=TRACKING, matches=29, inliers=14
[INFO] [1787220606.411232660] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=27, inliers=12
[INFO] [1787220606.548222285] [tray_section_viewer]: Tray state=TRACKING, matches=25, inliers=11
[INFO] [1787220606.612306996] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=31, inliers=13
[INFO] [1787220606.681025224] [tray_section_viewer]: Tray state=TRACKING, matches=31, inliers=12
[INFO] [1787220606.745338497] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=34, inliers=14
[INFO] [1787220606.812177540] [tray_section_viewer]: Tray state=TRACKING, matches=30, inliers=13
[INFO] [1787220607.222453248] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=30, inliers=17
[INFO] [1787220607.284772905] [tray_section_viewer]: Tray state=TRACKING, matches=32, inliers=15
[INFO] [1787220607.482667994] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=32, inliers=12
[INFO] [1787220607.547193244] [tray_section_viewer]: Tray state=TRACKING, matches=32, inliers=13
